出发城市,到达城市,最低票价,对应持续时间
上海,上海,9999.0,9999.0
上海,北京,293.0,12.1
上海,儋州,9999.0,9999.0
上海,伊春,9999.0,9999.0
上海,呼伦贝尔,9999.0,9999.0
上海,天津,305.0,10.883333333333333
上海,南京,55.0,2.7666666666666666
上海,东莞,862.5,9.766666666666667
上海,厦门,347.0,7.833333333333333
上海,宁波,98.0,1.9166666666666665
上海,哈尔滨,1025.5,12.2
上海,哈密,9999.0,9999.0
上海,南通,41.0,1.4
上海,佛山,9999.0,9999.0
上海,保定,9999.0,9999.0
上海,合肥,182.0,3.216666666666667
上海,南昌,262.0,3.4833333333333334
上海,大连,907.5,10.816666666666666
上海,临沂,9999.0,9999.0
上海,乌鲁木齐,9999.0,9999.0
上海,南阳,568.5,7.65
上海,台州,134.0,2.9166666666666665
上海,嘉兴,12.0,0.23333333333333334
上海,太原,637.0,9.183333333333334
上海,唐山,591.5,6.583333333333333
上海,丽江,9999.0,9999.0
上海,三明,341.5,4.266666666666667
上海,吐鲁番,9999.0,9999.0
上海,乌兰察布,9999.0,9999.0
上海,南宁,777.5,11.516666666666667
上海,三亚,9999.0,9999.0
上海,中山,912.0,9.266666666666667
上海,呼和浩特,9999.0,9999.0
上海,临汾,9999.0,9999.0
上海,周口,361.0,4.133333333333334
上海,上饶,177.0,2.4
上海,吉林市,9999.0,9999.0
上海,咸阳,239.0,15.333333333333334
上海,信阳,404.0,6.516666666666667
上海,兰州,310.0,22.316666666666666
上海,丽水,156.0,2.5833333333333335
上海,四平,882.5,10.7
上海,固原,9999.0,9999.0
上海,保山,9999.0,9999.0
上海,临沧,9999.0,9999.0
上海,中卫,9999.0,9999.0
上海,大同,9999.0,9999.0
上海,六安,214.0,3.6
上海,安康,9999.0,9999.0
上海,九江,226.0,7.3
上海,广州,872.0,8.716666666666667
北京,上海,293.0,12.05
北京,北京,9999.0,9999.0
北京,儋州,9999.0,9999.0
北京,伊春,9999.0,9999.0
北京,呼伦贝尔,9999.0,9999.0
北京,天津,32.0,1.1833333333333333
北京,南京,233.0,9.5
北京,东莞,1067.5,8.083333333333334
北京,厦门,451.0,17.966666666666665
北京,宁波,657.0,6.933333333333334
北京,哈尔滨,550.5,6.0
北京,哈密,9999.0,9999.0
北京,南通,513.0,5.6
北京,佛山,9999.0,9999.0
北京,保定,28.0,1.0666666666666667
北京,合肥,433.5,4.833333333333333
北京,南昌,288.0,12.0
北京,大连,426.0,4.1
北京,临沂,323.0,3.45
北京,乌鲁木齐,9999.0,9999.0
北京,南阳,440.0,5.333333333333333
北京,台州,727.0,7.75
北京,嘉兴,333.0,12.666666666666666
北京,太原,92.0,4.466666666666667
北京,唐山,47.0,1.3666666666666667
北京,丽江,9999.0,9999.0
北京,三明,359.0,15.466666666666667
北京,吐鲁番,9999.0,9999.0
北京,乌兰察布,116.0,1.9666666666666668
北京,南宁,953.5,10.866666666666667
北京,三亚,9999.0,9999.0
北京,中山,990.0,11.05
北京,呼和浩特,161.0,2.85
北京,临汾,262.5,4.616666666666667
北京,周口,397.0,4.366666666666666
北京,上饶,668.0,6.05
北京,吉林市,9999.0,9999.0
北京,咸阳,587.0,6.283333333333333
北京,信阳,167.0,8.616666666666667
北京,兰州,272.0,18.7
北京,丽水,728.0,8.366666666666667
北京,四平,387.5,4.416666666666667
北京,固原,9999.0,9999.0
北京,保山,9999.0,9999.0
北京,临沧,9999.0,9999.0
北京,中卫,9999.0,9999.0
北京,大同,132.0,2.3666666666666667
北京,六安,467.5,5.866666666666667
北京,安康,9999.0,9999.0
北京,九江,261.0,11.0
北京,广州,327.0,21.733333333333334
儋州,上海,9999.0,9999.0
儋州,北京,9999.0,9999.0
儋州,儋州,9999.0,9999.0
儋州,伊春,9999.0,9999.0
儋州,呼伦贝尔,9999.0,9999.0
儋州,天津,9999.0,9999.0
儋州,南京,9999.0,9999.0
儋州,东莞,9999.0,9999.0
儋州,厦门,9999.0,9999.0
儋州,宁波,9999.0,9999.0
儋州,哈尔滨,9999.0,9999.0
儋州,哈密,9999.0,9999.0
儋州,南通,9999.0,9999.0
儋州,佛山,9999.0,9999.0
儋州,保定,9999.0,9999.0
儋州,合肥,9999.0,9999.0
儋州,南昌,9999.0,9999.0
儋州,大连,9999.0,9999.0
儋州,临沂,9999.0,9999.0
儋州,乌鲁木齐,9999.0,9999.0
儋州,南阳,9999.0,9999.0
儋州,台州,9999.0,9999.0
儋州,嘉兴,9999.0,9999.0
儋州,太原,9999.0,9999.0
儋州,唐山,9999.0,9999.0
儋州,丽江,9999.0,9999.0
儋州,三明,9999.0,9999.0
儋州,吐鲁番,9999.0,9999.0
儋州,乌兰察布,9999.0,9999.0
儋州,南宁,9999.0,9999.0
儋州,三亚,9999.0,9999.0
儋州,中山,9999.0,9999.0
儋州,呼和浩特,9999.0,9999.0
儋州,临汾,9999.0,9999.0
儋州,周口,9999.0,9999.0
儋州,上饶,9999.0,9999.0
儋州,吉林市,9999.0,9999.0
儋州,咸阳,9999.0,9999.0
儋州,信阳,9999.0,9999.0
儋州,兰州,9999.0,9999.0
儋州,丽水,9999.0,9999.0
儋州,四平,9999.0,9999.0
儋州,固原,9999.0,9999.0
儋州,保山,9999.0,9999.0
儋州,临沧,9999.0,9999.0
儋州,中卫,9999.0,9999.0
儋州,大同,9999.0,9999.0
儋州,六安,9999.0,9999.0
儋州,安康,9999.0,9999.0
儋州,九江,9999.0,9999.0
儋州,广州,9999.0,9999.0
伊春,上海,9999.0,9999.0
伊春,北京,9999.0,9999.0
伊春,儋州,9999.0,9999.0
伊春,伊春,9999.0,9999.0
伊春,呼伦贝尔,9999.0,9999.0
伊春,天津,9999.0,9999.0
伊春,南京,9999.0,9999.0
伊春,东莞,9999.0,9999.0
伊春,厦门,9999.0,9999.0
伊春,宁波,9999.0,9999.0
伊春,哈尔滨,9999.0,9999.0
伊春,哈密,9999.0,9999.0
伊春,南通,9999.0,9999.0
伊春,佛山,9999.0,9999.0
伊春,保定,9999.0,9999.0
伊春,合肥,9999.0,9999.0
伊春,南昌,9999.0,9999.0
伊春,大连,9999.0,9999.0
伊春,临沂,9999.0,9999.0
伊春,乌鲁木齐,9999.0,9999.0
伊春,南阳,9999.0,9999.0
伊春,台州,9999.0,9999.0
伊春,嘉兴,9999.0,9999.0
伊春,太原,9999.0,9999.0
伊春,唐山,9999.0,9999.0
伊春,丽江,9999.0,9999.0
伊春,三明,9999.0,9999.0
伊春,吐鲁番,9999.0,9999.0
伊春,乌兰察布,9999.0,9999.0
伊春,南宁,9999.0,9999.0
伊春,三亚,9999.0,9999.0
伊春,中山,9999.0,9999.0
伊春,呼和浩特,9999.0,9999.0
伊春,临汾,9999.0,9999.0
伊春,周口,9999.0,9999.0
伊春,上饶,9999.0,9999.0
伊春,吉林市,9999.0,9999.0
伊春,咸阳,9999.0,9999.0
伊春,信阳,9999.0,9999.0
伊春,兰州,9999.0,9999.0
伊春,丽水,9999.0,9999.0
伊春,四平,9999.0,9999.0
伊春,固原,9999.0,9999.0
伊春,保山,9999.0,9999.0
伊春,临沧,9999.0,9999.0
伊春,中卫,9999.0,9999.0
伊春,大同,9999.0,9999.0
伊春,六安,9999.0,9999.0
伊春,安康,9999.0,9999.0
伊春,九江,9999.0,9999.0
伊春,广州,9999.0,9999.0
呼伦贝尔,上海,9999.0,9999.0
呼伦贝尔,北京,9999.0,9999.0
呼伦贝尔,儋州,9999.0,9999.0
呼伦贝尔,伊春,9999.0,9999.0
呼伦贝尔,呼伦贝尔,9999.0,9999.0
呼伦贝尔,天津,9999.0,9999.0
呼伦贝尔,南京,9999.0,9999.0
呼伦贝尔,东莞,9999.0,9999.0
呼伦贝尔,厦门,9999.0,9999.0
呼伦贝尔,宁波,9999.0,9999.0
呼伦贝尔,哈尔滨,9999.0,9999.0
呼伦贝尔,哈密,9999.0,9999.0
呼伦贝尔,南通,9999.0,9999.0
呼伦贝尔,佛山,9999.0,9999.0
呼伦贝尔,保定,9999.0,9999.0
呼伦贝尔,合肥,9999.0,9999.0
呼伦贝尔,南昌,9999.0,9999.0
呼伦贝尔,大连,9999.0,9999.0
呼伦贝尔,临沂,9999.0,9999.0
呼伦贝尔,乌鲁木齐,9999.0,9999.0
呼伦贝尔,南阳,9999.0,9999.0
呼伦贝尔,台州,9999.0,9999.0
呼伦贝尔,嘉兴,9999.0,9999.0
呼伦贝尔,太原,9999.0,9999.0
呼伦贝尔,唐山,9999.0,9999.0
呼伦贝尔,丽江,9999.0,9999.0
呼伦贝尔,三明,9999.0,9999.0
呼伦贝尔,吐鲁番,9999.0,9999.0
呼伦贝尔,乌兰察布,9999.0,9999.0
呼伦贝尔,南宁,9999.0,9999.0
呼伦贝尔,三亚,9999.0,9999.0
呼伦贝尔,中山,9999.0,9999.0
呼伦贝尔,呼和浩特,9999.0,9999.0
呼伦贝尔,临汾,9999.0,9999.0
呼伦贝尔,周口,9999.0,9999.0
呼伦贝尔,上饶,9999.0,9999.0
呼伦贝尔,吉林市,9999.0,9999.0
呼伦贝尔,咸阳,9999.0,9999.0
呼伦贝尔,信阳,9999.0,9999.0
呼伦贝尔,兰州,9999.0,9999.0
呼伦贝尔,丽水,9999.0,9999.0
呼伦贝尔,四平,9999.0,9999.0
呼伦贝尔,固原,9999.0,9999.0
呼伦贝尔,保山,9999.0,9999.0
呼伦贝尔,临沧,9999.0,9999.0
呼伦贝尔,中卫,9999.0,9999.0
呼伦贝尔,大同,9999.0,9999.0
呼伦贝尔,六安,9999.0,9999.0
呼伦贝尔,安康,9999.0,9999.0
呼伦贝尔,九江,9999.0,9999.0
呼伦贝尔,广州,9999.0,9999.0
天津,上海,305.0,10.95
天津,北京,32.0,1.2666666666666666
天津,儋州,9999.0,9999.0
天津,伊春,9999.0,9999.0
天津,呼伦贝尔,9999.0,9999.0
天津,天津,9999.0,9999.0
天津,南京,219.0,8.3
天津,东莞,9999.0,9999.0
天津,厦门,881.0,10.866666666666667
天津,宁波,659.0,6.15
天津,哈尔滨,458.5,5.883333333333333
天津,哈密,9999.0,9999.0
天津,南通,465.0,4.733333333333333
天津,佛山,9999.0,9999.0
天津,保定,56.5,1.15
天津,合肥,383.5,4.233333333333333
天津,南昌,833.0,8.7
天津,大连,330.5,4.516666666666667
天津,临沂,260.0,2.6166666666666667
天津,乌鲁木齐,9999.0,9999.0
天津,南阳,454.5,4.983333333333333
天津,台州,715.0,7.4
天津,嘉兴,301.0,11.516666666666667
天津,太原,194.0,3.3166666666666664
天津,唐山,20.0,0.2833333333333333
天津,丽江,9999.0,9999.0
天津,三明,755.0,8.283333333333333
天津,吐鲁番,9999.0,9999.0
天津,乌兰察布,9999.0,9999.0
天津,南宁,9999.0,9999.0
天津,三亚,9999.0,9999.0
天津,中山,9999.0,9999.0
天津,呼和浩特,9999.0,9999.0
天津,临汾,281.0,5.0
天津,周口,9999.0,9999.0
天津,上饶,616.0,5.5
天津,吉林市,9999.0,9999.0
天津,咸阳,582.5,7.05
天津,信阳,406.5,5.283333333333333
天津,兰州,760.5,10.166666666666666
天津,丽水,765.0,8.6
天津,四平,301.5,4.933333333333334
天津,固原,9999.0,9999.0
天津,保山,9999.0,9999.0
天津,临沧,9999.0,9999.0
天津,中卫,9999.0,9999.0
天津,大同,9999.0,9999.0
天津,六安,417.5,5.266666666666667
天津,安康,9999.0,9999.0
天津,九江,9999.0,9999.0
天津,广州,961.5,10.0
南京,上海,55.0,2.7333333333333334
南京,北京,233.0,9.5
南京,儋州,9999.0,9999.0
南京,伊春,9999.0,9999.0
南京,呼伦贝尔,9999.0,9999.0
南京,天津,219.0,8.183333333333334
南京,南京,9999.0,9999.0
南京,东莞,719.5,7.566666666666666
南京,厦门,447.0,8.75
南京,宁波,152.0,2.3
南京,哈尔滨,907.5,10.65
南京,哈密,9999.0,9999.0
南京,南通,95.0,2.6
南京,佛山,9999.0,9999.0
南京,保定,9999.0,9999.0
南京,合肥,61.0,0.9
南京,南昌,199.0,3.6333333333333333
南京,大连,785.5,9.35
南京,临沂,9999.0,9999.0
南京,乌鲁木齐,9999.0,9999.0
南京,南阳,461.5,4.883333333333333
南京,台州,209.0,3.35
南京,嘉兴,69.0,3.3666666666666667
南京,太原,496.5,6.883333333333333
南京,唐山,473.5,5.033333333333333
南京,丽江,9999.0,9999.0
南京,三明,420.0,7.85
南京,吐鲁番,9999.0,9999.0
南京,乌兰察布,9999.0,9999.0
南京,南宁,743.5,10.116666666666667
南京,三亚,9999.0,9999.0
南京,中山,9999.0,9999.0
南京,呼和浩特,9999.0,9999.0
南京,临汾,9999.0,9999.0
南京,周口,225.0,2.6833333333333336
南京,上饶,250.0,3.716666666666667
南京,吉林市,9999.0,9999.0
南京,咸阳,200.0,12.45
南京,信阳,263.0,4.8
南京,兰州,280.0,19.433333333333334
南京,丽水,177.5,3.5666666666666664
南京,四平,760.5,9.183333333333334
南京,固原,9999.0,9999.0
南京,保山,9999.0,9999.0
南京,临沧,9999.0,9999.0
南京,中卫,9999.0,9999.0
南京,大同,9999.0,9999.0
南京,六安,90.0,1.3666666666666667
南京,安康,9999.0,9999.0
南京,九江,161.0,2.75
南京,广州,650.0,7.366666666666666
东莞,上海,655.0,12.05
东莞,北京,1067.5,8.216666666666667
东莞,儋州,9999.0,9999.0
东莞,伊春,9999.0,9999.0
东莞,呼伦贝尔,9999.0,9999.0
东莞,天津,996.0,10.116666666666667
东莞,南京,610.5,8.583333333333334
东莞,东莞,9999.0,9999.0
东莞,厦门,242.0,3.9833333333333334
东莞,宁波,538.0,9.716666666666667
东莞,哈尔滨,9999.0,9999.0
东莞,哈密,9999.0,9999.0
东莞,南通,9999.0,9999.0
东莞,佛山,48.5,0.7666666666666667
东莞,保定,9999.0,9999.0
东莞,合肥,663.0,7.433333333333334
东莞,南昌,351.5,4.2
东莞,大连,9999.0,9999.0
东莞,临沂,9999.0,9999.0
东莞,乌鲁木齐,9999.0,9999.0
东莞,南阳,9999.0,9999.0
东莞,台州,482.0,8.666666666666666
东莞,嘉兴,624.0,11.533333333333333
东莞,太原,903.5,8.3
东莞,唐山,9999.0,9999.0
东莞,丽江,9999.0,9999.0
东莞,三明,327.0,6.35
东莞,吐鲁番,9999.0,9999.0
东莞,乌兰察布,9999.0,9999.0
东莞,南宁,284.5,3.3833333333333333
东莞,三亚,9999.0,9999.0
东莞,中山,74.5,1.1333333333333333
东莞,呼和浩特,9999.0,9999.0
东莞,临汾,9999.0,9999.0
东莞,周口,811.5,9.566666666666666
东莞,上饶,9999.0,9999.0
东莞,吉林市,9999.0,9999.0
东莞,咸阳,9999.0,9999.0
东莞,信阳,455.5,5.55
东莞,兰州,9999.0,9999.0
东莞,丽水,9999.0,9999.0
东莞,四平,9999.0,9999.0
东莞,固原,9999.0,9999.0
东莞,保山,9999.0,9999.0
东莞,临沧,9999.0,9999.0
东莞,中卫,9999.0,9999.0
东莞,大同,9999.0,9999.0
东莞,六安,9999.0,9999.0
东莞,安康,9999.0,9999.0
东莞,九江,401.5,5.8
东莞,广州,34.0,0.2833333333333333
厦门,上海,364.0,7.95
厦门,北京,451.0,17.75
厦门,儋州,9999.0,9999.0
厦门,伊春,9999.0,9999.0
厦门,呼伦贝尔,9999.0,9999.0
厦门,天津,863.5,10.2
厦门,南京,447.0,8.566666666666666
厦门,东莞,224.0,3.9333333333333336
厦门,厦门,290.5,6.866666666666667
厦门,宁波,265.0,5.5
厦门,哈尔滨,9999.0,9999.0
厦门,哈密,9999.0,9999.0
厦门,南通,476.0,9.483333333333333
厦门,佛山,9999.0,9999.0
厦门,保定,9999.0,9999.0
厦门,合肥,458.0,7.033333333333333
厦门,南昌,146.0,5.55
厦门,大连,9999.0,9999.0
厦门,临沂,9999.0,9999.0
厦门,乌鲁木齐,9999.0,9999.0
厦门,南阳,9999.0,9999.0
厦门,台州,214.0,5.033333333333333
厦门,嘉兴,336.0,7.433333333333334
厦门,太原,949.0,11.883333333333333
厦门,唐山,9999.0,9999.0
厦门,丽江,9999.0,9999.0
厦门,三明,71.0,2.6666666666666665
厦门,吐鲁番,9999.0,9999.0
厦门,乌兰察布,9999.0,9999.0
厦门,南宁,853.5,12.05
厦门,三亚,9999.0,9999.0
厦门,中山,9999.0,9999.0
厦门,呼和浩特,9999.0,9999.0
厦门,临汾,9999.0,9999.0
厦门,周口,9999.0,9999.0
厦门,上饶,194.5,4.266666666666667
厦门,吉林市,9999.0,9999.0
厦门,咸阳,9999.0,9999.0
厦门,信阳,517.0,9.116666666666667
厦门,兰州,9999.0,9999.0
厦门,丽水,9999.0,9999.0
厦门,四平,9999.0,9999.0
厦门,固原,9999.0,9999.0
厦门,保山,9999.0,9999.0
厦门,临沧,9999.0,9999.0
厦门,中卫,9999.0,9999.0
厦门,大同,9999.0,9999.0
厦门,六安,9999.0,9999.0
厦门,安康,9999.0,9999.0
厦门,九江,245.5,6.116666666666666
厦门,广州,305.0,2.95
宁波,上海,98.0,2.033333333333333
宁波,北京,657.0,7.083333333333333
宁波,儋州,9999.0,9999.0
宁波,伊春,9999.0,9999.0
宁波,呼伦贝尔,9999.0,9999.0
宁波,天津,637.0,7.083333333333333
宁波,南京,152.0,2.6166666666666667
宁波,东莞,9999.0,9999.0
宁波,厦门,265.0,5.5
宁波,宁波,9999.0,9999.0
宁波,哈尔滨,9999.0,9999.0
宁波,哈密,9999.0,9999.0
宁波,南通,181.0,3.533333333333333
宁波,佛山,9999.0,9999.0
宁波,保定,9999.0,9999.0
宁波,合肥,219.0,3.5
宁波,南昌,282.0,4.433333333333334
宁波,大连,9999.0,9999.0
宁波,临沂,9999.0,9999.0
宁波,乌鲁木齐,9999.0,9999.0
宁波,南阳,9999.0,9999.0
宁波,台州,50.0,0.9
宁波,嘉兴,85.0,1.7666666666666666
宁波,太原,814.5,10.616666666666667
宁波,唐山,687.5,7.766666666666667
宁波,丽江,9999.0,9999.0
宁波,三明,268.0,5.4
宁波,吐鲁番,9999.0,9999.0
宁波,乌兰察布,9999.0,9999.0
宁波,南宁,826.5,13.483333333333333
宁波,三亚,9999.0,9999.0
宁波,中山,9999.0,9999.0
宁波,呼和浩特,9999.0,9999.0
宁波,临汾,9999.0,9999.0
宁波,周口,463.5,5.483333333333333
宁波,上饶,185.0,3.35
宁波,吉林市,9999.0,9999.0
宁波,咸阳,9999.0,9999.0
宁波,信阳,9999.0,9999.0
宁波,兰州,9999.0,9999.0
宁波,丽水,135.5,2.9833333333333334
宁波,四平,9999.0,9999.0
宁波,固原,9999.0,9999.0
宁波,保山,9999.0,9999.0
宁波,临沧,9999.0,9999.0
宁波,中卫,9999.0,9999.0
宁波,大同,9999.0,9999.0
宁波,六安,251.0,4.05
宁波,安康,9999.0,9999.0
宁波,九江,9999.0,9999.0
宁波,广州,9999.0,9999.0
哈尔滨,上海,1031.5,12.933333333333334
哈尔滨,北京,506.5,5.85
哈尔滨,儋州,9999.0,9999.0
哈尔滨,伊春,9999.0,9999.0
哈尔滨,呼伦贝尔,9999.0,9999.0
哈尔滨,天津,458.5,6.3
哈尔滨,南京,896.5,11.116666666666667
哈尔滨,东莞,9999.0,9999.0
哈尔滨,厦门,9999.0,9999.0
哈尔滨,宁波,9999.0,9999.0
哈尔滨,哈尔滨,385.0,6.733333333333333
哈尔滨,哈密,9999.0,9999.0
哈尔滨,南通,1016.5,13.4
哈尔滨,佛山,9999.0,9999.0
哈尔滨,保定,545.5,8.05
哈尔滨,合肥,9999.0,9999.0
哈尔滨,南昌,9999.0,9999.0
哈尔滨,大连,403.5,4.316666666666666
哈尔滨,临沂,9999.0,9999.0
哈尔滨,乌鲁木齐,9999.0,9999.0
哈尔滨,南阳,960.5,11.783333333333333
哈尔滨,台州,9999.0,9999.0
哈尔滨,嘉兴,9999.0,9999.0
哈尔滨,太原,703.0,10.383333333333333
哈尔滨,唐山,425.0,5.933333333333334
哈尔滨,丽江,9999.0,9999.0
哈尔滨,三明,9999.0,9999.0
哈尔滨,吐鲁番,9999.0,9999.0
哈尔滨,乌兰察布,9999.0,9999.0
哈尔滨,南宁,9999.0,9999.0
哈尔滨,三亚,9999.0,9999.0
哈尔滨,中山,9999.0,9999.0
哈尔滨,呼和浩特,9999.0,9999.0
哈尔滨,临汾,775.0,11.883333333333333
哈尔滨,周口,9999.0,9999.0
哈尔滨,上饶,9999.0,9999.0
哈尔滨,吉林市,9999.0,9999.0
哈尔滨,咸阳,9999.0,9999.0
哈尔滨,信阳,934.5,12.416666666666666
哈尔滨,兰州,9999.0,9999.0
哈尔滨,丽水,9999.0,9999.0
哈尔滨,四平,112.5,2.1166666666666667
哈尔滨,固原,9999.0,9999.0
哈尔滨,保山,9999.0,9999.0
哈尔滨,临沧,9999.0,9999.0
哈尔滨,中卫,9999.0,9999.0
哈尔滨,大同,9999.0,9999.0
哈尔滨,六安,9999.0,9999.0
哈尔滨,安康,9999.0,9999.0
哈尔滨,九江,9999.0,9999.0
哈尔滨,广州,9999.0,9999.0
哈密,上海,9999.0,9999.0
哈密,北京,9999.0,9999.0
哈密,儋州,9999.0,9999.0
哈密,伊春,9999.0,9999.0
哈密,呼伦贝尔,9999.0,9999.0
哈密,天津,9999.0,9999.0
哈密,南京,9999.0,9999.0
哈密,东莞,9999.0,9999.0
哈密,厦门,9999.0,9999.0
哈密,宁波,9999.0,9999.0
哈密,哈尔滨,9999.0,9999.0
哈密,哈密,9999.0,9999.0
哈密,南通,9999.0,9999.0
哈密,佛山,9999.0,9999.0
哈密,保定,9999.0,9999.0
哈密,合肥,9999.0,9999.0
哈密,南昌,9999.0,9999.0
哈密,大连,9999.0,9999.0
哈密,临沂,9999.0,9999.0
哈密,乌鲁木齐,163.5,2.6
哈密,南阳,9999.0,9999.0
哈密,台州,9999.0,9999.0
哈密,嘉兴,9999.0,9999.0
哈密,太原,9999.0,9999.0
哈密,唐山,9999.0,9999.0
哈密,丽江,9999.0,9999.0
哈密,三明,9999.0,9999.0
哈密,吐鲁番,115.0,1.7666666666666666
哈密,乌兰察布,9999.0,9999.0
哈密,南宁,9999.0,9999.0
哈密,三亚,9999.0,9999.0
哈密,中山,9999.0,9999.0
哈密,呼和浩特,9999.0,9999.0
哈密,临汾,9999.0,9999.0
哈密,周口,9999.0,9999.0
哈密,上饶,9999.0,9999.0
哈密,吉林市,9999.0,9999.0
哈密,咸阳,560.5,10.583333333333334
哈密,信阳,9999.0,9999.0
哈密,兰州,385.0,7.633333333333333
哈密,丽水,9999.0,9999.0
哈密,四平,9999.0,9999.0
哈密,固原,9999.0,9999.0
哈密,保山,9999.0,9999.0
哈密,临沧,9999.0,9999.0
哈密,中卫,9999.0,9999.0
哈密,大同,9999.0,9999.0
哈密,六安,9999.0,9999.0
哈密,安康,9999.0,9999.0
哈密,九江,9999.0,9999.0
哈密,广州,9999.0,9999.0
南通,上海,56.0,1.2666666666666666
南通,北京,528.0,5.6
南通,儋州,9999.0,9999.0
南通,伊春,9999.0,9999.0
南通,呼伦贝尔,9999.0,9999.0
南通,天津,509.0,4.9
南通,南京,95.0,2.5833333333333335
南通,东莞,9999.0,9999.0
南通,厦门,476.0,9.516666666666667
南通,宁波,185.0,3.4
南通,哈尔滨,1007.5,13.75
南通,哈密,9999.0,9999.0
南通,南通,9999.0,9999.0
南通,佛山,9999.0,9999.0
南通,保定,9999.0,9999.0
南通,合肥,160.0,3.216666666666667
南通,南昌,458.0,5.4
南通,大连,9999.0,9999.0
南通,临沂,9999.0,9999.0
南通,乌鲁木齐,9999.0,9999.0
南通,南阳,505.5,6.283333333333333
南通,台州,239.0,4.516666666666667
南通,嘉兴,100.0,1.8166666666666667
